Gene1,Gene2,Score
BMI1,MECOM,1016.0
BMI1,GFI1,672.0
BMI1,EBF1,753.0
BMI1,RUNX2,866.0
BMI1,GATA2,375.0
BMI1,ESR1,459.0
BMI1,ZEB2,371.0
BMI1,HOXA9,337.0
BMI1,HLF,265.0
BMI1,IRF8,349.0
BMI1,NR3C2,242.0
BMI1,IKZF1,198.0
BMI1,ARID3B,446.0
BMI1,EYA1,187.0
BMI1,MEF2C,255.0
BMI1,NFATC2,181.0
BMI1,THRB,138.0
BMI1,IRF5,185.0
BMI1,GFI1B,136.0
BMI1,ETS1,153.0
BMI1,SALL2,141.0
BMI1,MYCN,122.0
BMI1,EYA2,121.0
BMI1,AHR,113.0
BMI1,PBX1,112.0
BMI1,NDN,107.0
BMI1,GTF3C3,104.0
CBFB,NFE2,2138.0
CBFB,WDR5,1641.0
CBFB,PRDM4,1622.0
CBFB,NFXL1,1319.0
CBFB,NFAT5,1118.0
CBFB,DDX20,1368.0
CBFB,MIS18BP1,1481.0
CBFB,EYA2,1293.0
CBFB,REXO4,1500.0
CBFB,MED16,1263.0
CBFB,XRCC6,928.0
CBFB,GTF2H1,1221.0
CBFB,HDAC7,951.0
CBFB,HCFC1,773.0
CBFB,DCP1A,1170.0
CBFB,ZFP143,1213.0
CBFB,FEM1B,1103.0
CBFB,RUVBL2,1197.0
CBFB,XPC,803.0
CBFB,ZDHHC6,1362.0
CBFB,ZBTB20,1021.0
CBFB,ZZZ3,935.0
CBFB,XAB2,1094.0
CBFB,TOX4,1217.0
CBFB,HDGF,949.0
CBFB,GTF2E1,939.0
CBFB,MCM7,1209.0
CBFB,CNOT7,601.0
CBFB,RAD21,630.0
CBFB,MCM4,1102.0
CBFB,SRSF1,850.0
CBFB,DEK,707.0
CBFB,STAT3,955.0
CBFB,CTR9,1045.0
CBFB,SLA2,1062.0
CBFB,TCF12,765.0
CBFB,GFI1,913.0
CBFB,BLZF1,1753.0
CBFB,ELP3,675.0
CBFB,HIST1H1C,722.0
CBFB,ABTB1,867.0
CBFB,SATB1,904.0
CBFB,NFKBIA,555.0
CBFB,TTF1,949.0
CBFB,POLR3F,1050.0
CBFB,SP4,613.0
CBFB,NR4A1,868.0
CBFB,HDAC2,960.0
CBFB,AFF4,588.0
CBFB,ZDHHC13,697.0
CBFB,MXD3,1057.0
CBFB,AHCTF1,573.0
CBFB,PHB2,761.0
CBFB,E2F8,644.0
CBFB,NRF1,606.0
CBFB,FOS,706.0
CBFB,POLR1B,800.0
CBFB,RORC,790.0
CBFB,NFE2L2,772.0
CBFB,GTF2F1,860.0
CBFB,MAPK1,815.0
CBFB,RNF19A,456.0
CBFB,RPA2,694.0
CBFB,GTF3C3,651.0
CBFB,CENPK,771.0
CBFB,MCM6,691.0
CBFB,SMAD2,645.0
CBFB,KLF1,827.0
CBFB,RNF4,666.0
CBFB,MYNN,673.0
CBFB,TOPORS,734.0
CBFB,XRCC3,593.0
CBFB,PLAG1,445.0
CBFB,ZFP110,734.0
CBFB,RB1,458.0
CBFB,XRCC5,721.0
CBFB,IRF1,465.0
CBFB,MCM3,573.0
CBFB,NR2C1,547.0
CBFB,HNRNPAB,686.0
CBFB,SNAPC3,603.0
CBFB,TTF2,622.0
CBFB,TCF19,526.0
CBFB,SMARCA2,822.0
CBFB,REL,513.0
CBFB,SNRPB,558.0
CBFB,MCM5,607.0
CBFB,MYCN,555.0
CBFB,PA2G4,524.0
CBFB,ELP2,460.0
CBFB,HMGB2,548.0
CBFB,RELB,393.0
CBFB,MAPK9,553.0
CBFB,ZSCAN21,497.0
CBFB,POLR2B,410.0
CBFB,CBX7,616.0
CBFB,ZBTB43,538.0
CBFB,ZKSCAN6,386.0
CBFB,BTAF1,554.0
CBFB,ORC2,547.0
CBFB,ZFP467,402.0
CBFB,RORA,492.0
CBFB,JARID2,489.0
CBFB,ABL1,319.0
CBFB,RAD51,494.0
CBFB,BUB3,488.0
CBFB,YBX1,500.0
CBFB,ZFP592,343.0
CBFB,BTG2,620.0
CBFB,HCLS1,474.0
CBFB,E2F4,343.0
CBFB,ELL2,308.0
CBFB,VHL,404.0
CBFB,LMO4,467.0
CBFB,TAF1,507.0
CBFB,KDM6A,374.0
CBFB,ZKSCAN17,383.0
CBFB,ERCC8,412.0
CBFB,EPOR,563.0
CBFB,RPA1,311.0
CBFB,MCM2,326.0
CBFB,KLF3,328.0
CBFB,MYB,302.0
CBFB,E2F6,418.0
CBFB,KLF6,343.0
CBFB,GFI1B,401.0
CBFB,EPAS1,405.0
CBFB,SALL2,397.0
CBFB,PWP1,549.0
CBFB,HLF,260.0
CBFB,IKZF1,304.0
CBFB,JUN,400.0
CBFB,TRIB3,409.0
CBFB,TRPS1,345.0
CBFB,NFATC2,339.0
CBFB,EYA1,253.0
CBFB,FOXO1,297.0
CBFB,RUNX2,244.0
CBFB,PHF10,241.0
CBFB,BMI1,265.0
CBFB,NOTCH1,285.0
CBFB,TEAD3,250.0
CBFB,EGR1,261.0
CBFB,TAF12,264.0
CBFB,THRB,335.0
CBFB,IRF6,240.0
CBFB,AHR,265.0
CBFB,ZBTB10,198.0
CBFB,DDX58,299.0
CBFB,ETS1,190.0
CBFB,NFATC1,163.0
CBFB,ZFP275,281.0
CBFB,ESR1,279.0
CBFB,APBB1,206.0
CBFB,ZEB2,215.0
CBFB,RUNX1T1,362.0
CBFB,H1F0,218.0
CBFB,EBF1,205.0
CBFB,IFI204,228.0
CBFB,IKZF2,184.0
CBFB,MYC,144.0
CBFB,CITED4,163.0
CBFB,ELF4,161.0
CBFB,ID2,128.0
CBFB,VDR,119.0
CBFB,ZFP30,108.0
CBFB,RARB,188.0
CBFB,TLE2,174.0
CBFB,NUPR1,164.0
CBFB,SPI1,156.0
CBFB,ZFP36,151.0
CBFB,MEIS1,134.0
CBFB,HDAC11,132.0
CBFB,IRF8,120.0
CBFB,PPARGC1A,116.0
CBX7,MECOM,1074.0
CBX7,RUNX1T1,956.0
CBX7,SOX18,874.0
CBX7,CREB5,770.0
CBX7,SATB1,842.0
CBX7,EYA2,995.0
CBX7,IRF5,847.0
CBX7,NFIA,676.0
CBX7,THRB,899.0
CBX7,ZFP467,821.0
CBX7,PGR,674.0
CBX7,CITED4,736.0
CBX7,IKZF1,679.0
CBX7,ZBTB10,663.0
CBX7,MEF2C,747.0
CBX7,MYB,619.0
CBX7,ZEB2,554.0
CBX7,RORA,683.0
CBX7,EPAS1,778.0
CBX7,TSC22D3,589.0
CBX7,EBF1,488.0
CBX7,HLF,695.0
CBX7,JUN,633.0
CBX7,REL,624.0
CBX7,BMI1,553.0
CBX7,NFATC2,637.0
CBX7,HDAC7,552.0
CBX7,SOX6,405.0
CBX7,NDN,599.0
CBX7,RUNX2,398.0
CBX7,SMARCA2,395.0
CBX7,ETS1,479.0
CBX7,NR3C2,771.0
CBX7,IRF8,639.0
CBX7,SALL2,461.0
CBX7,RARB,593.0
CBX7,NFATC1,331.0
CBX7,VDR,427.0
CBX7,NOTCH1,520.0
CBX7,E2F6,371.0
CBX7,PRDM16,269.0
CBX7,FOS,359.0
CBX7,EYA1,547.0
CBX7,MEIS1,202.0
CBX7,MAPK12,268.0
CBX7,GFI1,191.0
CBX7,PBX1,367.0
CBX7,HDAC2,176.0
CBX7,MYC,165.0
CBX7,TSHZ3,168.0
CBX7,TLE2,323.0
CBX7,GATA2,103.0
CBX7,TCF12,150.0
CBX7,HIST1H1C,136.0
CBX7,E2F8,247.0
CBX7,PLAG1,245.0
CBX7,TRPS1,239.0
CBX7,APBB1,105.0
CBX7,XRCC6,177.0
CBX7,IRF6,173.0
CBX7,RORC,163.0
CBX7,EGR1,161.0
CBX7,ZFP143,159.0
CBX7,ID2,159.0
CBX7,NFAT5,154.0
CBX7,RNF19A,146.0
CBX7,H1F0,140.0
CBX7,CENPK,137.0
CBX7,EPOR,136.0
CBX7,ZZZ3,134.0
CBX7,TOPORS,134.0
CBX7,RPA1,128.0
CBX7,RNF4,128.0
CBX7,KDM6A,126.0
CBX7,MAPK9,122.0
CBX7,XPC,115.0
CBX7,IRF1,107.0
CBX7,SNAPC3,106.0
CBX7,PRDM4,105.0
CBX7,NFXL1,103.0
EBF1,GFI1B,1702.0
EBF1,MAPK1,1886.0
EBF1,ID2,1852.0
EBF1,ABTB1,737.0
EBF1,APBB1,1136.0
EBF1,NFE2,782.0
EBF1,IRF1,1120.0
EBF1,ZDHHC13,1540.0
EBF1,ZKSCAN17,1261.0
EBF1,HCLS1,1180.0
EBF1,FOXO1,945.0
EBF1,RUVBL2,500.0
EBF1,MYNN,610.0
EBF1,NUPR1,1114.0
EBF1,PRDM4,1117.0
EBF1,ZFP36,546.0
EBF1,IRF5,422.0
EBF1,XRCC3,441.0
EBF1,ZKSCAN6,722.0
EBF1,NFKBIA,1097.0
EBF1,NFAT5,383.0
EBF1,MXD3,794.0
EBF1,GTF2F1,216.0
EBF1,RUNX2,223.0
EBF1,SALL2,458.0
EBF1,ZFP30,377.0
EBF1,KLF1,343.0
EBF1,ZFP143,164.0
EBF1,ZFP592,280.0
EBF1,TRIB3,328.0
EBF1,ELF4,221.0
EBF1,MIS18BP1,236.0
EBF1,AHR,195.0
EBF1,GATA1,281.0
EBF1,ZEB2,216.0
EBF1,SOX6,321.0
EBF1,RARB,303.0
EBF1,TSHZ3,175.0
EBF1,MCM7,138.0
EBF1,DDX20,124.0
EBF1,DEK,178.0
EBF1,MECOM,173.0
EBF1,CITED4,157.0
EBF1,ZFP467,153.0
EBF1,IKZF1,150.0
EBF1,AHCTF1,147.0
EBF1,RB1,121.0
EBF1,RORC,118.0
EBF1,E2F8,118.0
EBF1,KLF3,104.0
ELF4,XAB2,2881.0
ELF4,GTF2F1,2707.0
ELF4,MEIS1,2411.0
ELF4,MCM7,2152.0
ELF4,GTF2H1,3018.0
ELF4,ID2,2012.0
ELF4,TTF2,2177.0
ELF4,PHB2,2059.0
ELF4,RPA2,2106.0
ELF4,ZDHHC6,1664.0
ELF4,MCM3,2053.0
ELF4,RAD51,2018.0
ELF4,ZFP110,1781.0
ELF4,RAD21,2191.0
ELF4,TAF12,2906.0
ELF4,HCLS1,1664.0
ELF4,TLR4,1679.0
ELF4,TTF1,1783.0
ELF4,RNF4,1544.0
ELF4,ZFP143,1542.0
ELF4,BLZF1,1337.0
ELF4,RELB,1492.0
ELF4,WDR5,1383.0
ELF4,REXO4,1664.0
ELF4,GTF2E1,1600.0
ELF4,SNRPB,1143.0
ELF4,PRDM4,1586.0
ELF4,E2F4,1195.0
ELF4,ABTB1,1056.0
ELF4,ZKSCAN6,1430.0
ELF4,TOPORS,1195.0
ELF4,NFXL1,1334.0
ELF4,MIS18BP1,1361.0
ELF4,DCP1A,1040.0
ELF4,MCM4,1160.0
ELF4,SPI1,939.0
ELF4,E2F8,1043.0
ELF4,TCF12,969.0
ELF4,ZDHHC13,1344.0
ELF4,HIST1H1C,908.0
ELF4,AHCTF1,984.0
ELF4,ABL1,946.0
ELF4,REL,845.0
ELF4,SMARCA2,836.0
ELF4,TAF1,741.0
ELF4,STAT3,851.0
ELF4,FOS,910.0
ELF4,TCF19,820.0
ELF4,CTR9,901.0
ELF4,IKZF1,897.0
ELF4,ZFP36,957.0
ELF4,BATF2,820.0
ELF4,MCM2,577.0
ELF4,EPAS1,843.0
ELF4,SP4,638.0
ELF4,MCM6,986.0
ELF4,CENPK,470.0
ELF4,YBX1,680.0
ELF4,HNRNPAB,564.0
ELF4,MYNN,603.0
ELF4,TOX4,488.0
ELF4,HMGB2,626.0
ELF4,MCM5,566.0
ELF4,RUVBL2,493.0
ELF4,IFI204,530.0
ELF4,NFAT5,881.0
ELF4,ZBTB43,548.0
ELF4,ZSCAN21,451.0
ELF4,SRSF1,455.0
ELF4,XRCC6,350.0
ELF4,ELP2,475.0
ELF4,JUN,377.0
ELF4,BUB3,586.0
ELF4,ORC2,311.0
ELF4,DDX20,438.0
ELF4,HCFC1,382.0
ELF4,TRPS1,421.0
ELF4,SNAPC3,489.0
ELF4,MAPK1,356.0
ELF4,CREB5,230.0
ELF4,CBFB,539.0
ELF4,PA2G4,317.0
ELF4,ZEB2,266.0
ELF4,PWP1,230.0
ELF4,XPC,417.0
ELF4,IRF1,198.0
ELF4,NFATC1,378.0
ELF4,POLR3F,230.0
ELF4,NFKBIA,239.0
ELF4,ESR1,245.0
ELF4,ERCC8,206.0
ELF4,MED16,172.0
ELF4,XRCC5,160.0
ELF4,NOTCH1,161.0
ELF4,ZKSCAN17,271.0
ELF4,DDX58,271.0
ELF4,H1F0,263.0
ELF4,ELP3,233.0
ELF4,PML,196.0
ELF4,NFE2,189.0
ELF4,ZFP275,188.0
ELF4,POLR2B,180.0
ELF4,POLR1B,179.0
ELF4,NFE2L2,161.0
ELF4,IRF5,150.0
ELF4,ZZZ3,142.0
ELF4,XRCC3,133.0
ELF4,DEK,128.0
ELF4,NR2C1,126.0
ELF4,PBX1,111.0
ELF4,RUNX2,226.0
ESR1,NFKBIA,1947.0
ESR1,KLF3,1964.0
ESR1,DCP1A,2154.0
ESR1,RAI14,2152.0
ESR1,REL,2427.0
ESR1,RPA1,1643.0
ESR1,ZFP143,2086.0
ESR1,FEM1B,1140.0
ESR1,E2F6,2266.0
ESR1,REXO4,1487.0
ESR1,ZFP592,1504.0
ESR1,MAPK9,1790.0
ESR1,CREB5,1233.0
ESR1,MAPK1,946.0
ESR1,GTF2F1,905.0
ESR1,PBX1,1097.0
ESR1,HDAC7,587.0
ESR1,NFAT5,895.0
ESR1,NFE2L2,1023.0
ESR1,XAB2,1829.0
ESR1,HMGB2,1115.0
ESR1,TOX4,942.0
ESR1,DDX20,850.0
ESR1,POLR1B,887.0
ESR1,XRCC6,884.0
ESR1,XRCC5,830.0
ESR1,PHB2,815.0
ESR1,STAT3,773.0
ESR1,POLR3F,783.0
ESR1,RNF19A,1304.0
ESR1,ZBTB20,1686.0
ESR1,ELP2,1006.0
ESR1,ZZZ3,888.0
ESR1,CENPK,1013.0
ESR1,XPC,683.0
ESR1,PA2G4,680.0
ESR1,GTF2H1,942.0
ESR1,ABTB1,657.0
ESR1,MCM4,681.0
ESR1,AHCTF1,610.0
ESR1,GTF3C3,928.0
ESR1,PLAG1,683.0
ESR1,PRDM4,769.0
ESR1,HIST1H1C,408.0
ESR1,NOTCH1,478.0
ESR1,ZDHHC6,786.0
ESR1,ELL2,718.0
ESR1,JUN,753.0
ESR1,ELF4,755.0
ESR1,NFE2,936.0
ESR1,SRSF1,481.0
ESR1,ZKSCAN17,600.0
ESR1,BATF2,669.0
ESR1,HDAC2,916.0
ESR1,MYNN,447.0
ESR1,TOPORS,812.0
ESR1,SNAPC3,427.0
ESR1,SNRPB,450.0
ESR1,SP4,521.0
ESR1,EGR1,1055.0
ESR1,ETS1,660.0
ESR1,KLF6,549.0
ESR1,BTG2,434.0
ESR1,ABL1,325.0
ESR1,MEIS1,242.0
ESR1,BTAF1,800.0
ESR1,RORC,729.0
ESR1,NR3C2,964.0
ESR1,DEK,847.0
ESR1,ZBTB43,579.0
ESR1,HNRNPAB,393.0
ESR1,NR2C1,708.0
ESR1,CNOT7,999.0
ESR1,HDGF,480.0
ESR1,MCM7,636.0
ESR1,RAD21,472.0
ESR1,AFF4,495.0
ESR1,RORA,727.0
ESR1,NR4A1,692.0
ESR1,RUVBL2,599.0
ESR1,IRF1,371.0
ESR1,IFI204,369.0
ESR1,EPAS1,571.0
ESR1,RAD51,466.0
ESR1,MIS18BP1,485.0
ESR1,ZEB2,1526.0
ESR1,NFATC2,488.0
ESR1,CBX7,460.0
ESR1,RNF4,451.0
ESR1,NFXL1,498.0
ESR1,HLF,460.0
ESR1,RPA2,578.0
ESR1,ZSCAN21,369.0
ESR1,MAPK12,838.0
ESR1,MCM5,645.0
ESR1,H1F0,417.0
ESR1,ZFP467,557.0
ESR1,LMO4,345.0
ESR1,WDR5,377.0
ESR1,GTF2E1,535.0
ESR1,MED16,401.0
ESR1,ZKSCAN6,414.0
ESR1,NRF1,426.0
ESR1,RARB,384.0
ESR1,GLIS2,1023.0
ESR1,TCF12,325.0
ESR1,PGR,476.0
ESR1,KDM6A,387.0
ESR1,MECOM,375.0
ESR1,SMARCA2,337.0
ESR1,HDAC11,683.0
ESR1,TAF12,330.0
ESR1,POLR2B,277.0
ESR1,VHL,462.0
ESR1,BLZF1,393.0
ESR1,PPARGC1A,702.0
ESR1,RUNX1T1,571.0
ESR1,TSHZ3,505.0
ESR1,CITED4,539.0
ESR1,BUB3,480.0
ESR1,XRCC3,434.0
ESR1,YBX1,354.0
ESR1,FOS,478.0
ESR1,TLR4,453.0
ESR1,AHR,563.0
ESR1,JARID2,330.0
ESR1,CBFB,318.0
ESR1,FOXO1,498.0
ESR1,SMAD2,363.0
ESR1,MXD3,642.0
ESR1,CTR9,281.0
ESR1,TEAD3,237.0
ESR1,CSRP3,999.0
ESR1,RUNX2,678.0
ESR1,ZBTB10,237.0
ESR1,E2F4,209.0
ESR1,NUPR1,327.0
ESR1,PHF10,411.0
ESR1,EYA1,578.0
ESR1,RELB,347.0
ESR1,TCF19,298.0
ESR1,PWP1,444.0
ESR1,MCM3,258.0
ESR1,MCM6,346.0
ESR1,HDAC9,420.0
ESR1,ZFP110,288.0
ESR1,THRB,463.0
ESR1,PRDM16,732.0
ESR1,HCFC1,452.0
ESR1,EBF1,259.0
ESR1,GATA2,460.0
ESR1,MYC,269.0
ESR1,TTF1,304.0
ESR1,ELP3,223.0
ESR1,ERCC8,235.0
ESR1,MEF2C,261.0
ESR1,APBB1,363.0
ESR1,TAF1,224.0
ESR1,HOXA9,318.0
ESR1,SOX6,315.0
ESR1,TRIB3,397.0
ESR1,ZDHHC13,227.0
ESR1,SATB1,383.0
ESR1,BMI1,283.0
ESR1,TEAD2,290.0
ESR1,HCLS1,287.0
ESR1,ORC2,220.0
ESR1,MCM2,231.0
ESR1,SALL2,198.0
ESR1,RB1,189.0
ESR1,ZFP275,240.0
ESR1,NFIA,331.0
ESR1,TRPS1,305.0
ESR1,EYA2,468.0
ESR1,MYCN,176.0
ESR1,GFI1,168.0
ESR1,IRF8,174.0
ESR1,PRDM5,168.0
ESR1,TLE2,192.0
ESR1,ZFP30,194.0
ESR1,IRF5,172.0
ESR1,E2F8,136.0
ESR1,NFATC1,122.0
ESR1,ZFP36,119.0
ESR1,HNF4A,179.0
ESR1,IRF6,170.0
ESR1,NDN,136.0
ESR1,TTF2,131.0
ESR1,VDR,127.0
ESR1,DDX58,109.0
ESR1,ID2,102.0
ESR1,MYB,436.0
ETS1,DCP1A,2342.0
ETS1,DDX20,1770.0
ETS1,NFAT5,1764.0
ETS1,PHB2,1574.0
ETS1,MIS18BP1,1835.0
ETS1,MYNN,1771.0
ETS1,RAD21,1858.0
ETS1,STAT3,1798.0
ETS1,PRDM4,1332.0
ETS1,MCM7,1116.0
ETS1,ABTB1,1486.0
ETS1,NFXL1,1291.0
ETS1,REXO4,1309.0
ETS1,HIST1H1C,999.0
ETS1,TOX4,1243.0
ETS1,POLR3F,1119.0
ETS1,SRSF1,988.0
ETS1,PA2G4,1235.0
ETS1,GTF2H1,1090.0
ETS1,GTF2F1,899.0
ETS1,XPC,1079.0
ETS1,AHCTF1,1123.0
ETS1,SNAPC3,1306.0
ETS1,XAB2,1185.0
ETS1,E2F4,1115.0
ETS1,TTF1,1147.0
ETS1,ZDHHC6,891.0
ETS1,POLR1B,877.0
ETS1,FEM1B,1065.0
ETS1,ZZZ3,1108.0
ETS1,ZBTB43,1067.0
ETS1,ZFP110,1025.0
ETS1,NFE2,1304.0
ETS1,HDGF,766.0
ETS1,SNRPB,653.0
ETS1,GTF3C3,847.0
ETS1,RUVBL2,906.0
ETS1,RAD51,999.0
ETS1,CENPK,1072.0
ETS1,TAF12,1005.0
ETS1,ZFP143,962.0
ETS1,ELP2,987.0
ETS1,BLZF1,1255.0
ETS1,HCLS1,843.0
ETS1,RNF4,963.0
ETS1,TOPORS,846.0
ETS1,ZSCAN21,1017.0
ETS1,BTAF1,614.0
ETS1,WDR5,887.0
ETS1,XRCC5,868.0
ETS1,NFKBIA,697.0
ETS1,BTG2,1040.0
ETS1,ZKSCAN6,909.0
ETS1,MED16,822.0
ETS1,RPA2,840.0
ETS1,MAPK1,625.0
ETS1,MCM3,762.0
ETS1,REL,929.0
ETS1,SP4,897.0
ETS1,ZKSCAN17,848.0
ETS1,MAPK9,886.0
ETS1,TCF12,601.0
ETS1,SMARCA2,526.0
ETS1,BUB3,741.0
ETS1,NFE2L2,713.0
ETS1,RELB,792.0
ETS1,CTR9,801.0
ETS1,VHL,773.0
ETS1,FOS,676.0
ETS1,MXD3,751.0
ETS1,ZFP275,844.0
ETS1,IRF1,555.0
ETS1,ORC2,665.0
ETS1,MCM6,731.0
ETS1,RORA,972.0
ETS1,TCF19,887.0
ETS1,POLR2B,513.0
ETS1,CNOT7,604.0
ETS1,XRCC6,721.0
ETS1,CBFB,605.0
ETS1,TLR4,1402.0
ETS1,SPI1,1231.0
ETS1,MCM4,533.0
ETS1,EYA2,873.0
ETS1,CBX7,792.0
ETS1,RB1,718.0
ETS1,GFI1,947.0
ETS1,MCM5,617.0
ETS1,ELP3,689.0
ETS1,HNRNPAB,478.0
ETS1,AFF4,560.0
ETS1,ZDHHC13,678.0
ETS1,ABL1,457.0
ETS1,RNF19A,500.0
ETS1,GTF2E1,464.0
ETS1,DEK,596.0
ETS1,NFATC1,419.0
ETS1,YBX1,413.0
ETS1,NRF1,521.0
ETS1,NR2C1,569.0
ETS1,EGR1,604.0
ETS1,SLA2,677.0
ETS1,TTF2,567.0
ETS1,MCM2,463.0
ETS1,HDAC2,402.0
ETS1,HDAC7,675.0
ETS1,HMGB2,356.0
ETS1,PWP1,570.0
ETS1,E2F8,718.0
ETS1,HCFC1,494.0
ETS1,TAF1,440.0
ETS1,RPA1,389.0
ETS1,EPOR,1134.0
ETS1,SMAD2,457.0
ETS1,JUN,550.0
ETS1,NFATC2,384.0
ETS1,DDX58,377.0
ETS1,ZBTB10,1030.0
ETS1,ZFP592,343.0
ETS1,ERCC8,306.0
ETS1,SATB1,323.0
ETS1,TRIB3,400.0
ETS1,IKZF1,448.0
ETS1,KLF1,1083.0
